FL_DATE,DEP_DEL15,n_flights
2019-01-01,3783.0,18009
2019-01-02,5075.0,20384
2019-01-03,3726.0,19522
2019-01-04,2619.0,19566
2019-01-05,2661.0,16807
2019-01-06,3800.0,19448
2019-01-07,2830.0,20015
2019-01-08,1910.0,18815
2019-01-09,1822.0,19236
2019-01-10,2706.0,19980
2019-01-11,2873.0,20082
2019-01-12,1904.0,15315
2019-01-13,2768.0,18561
2019-01-14,2781.0,19941
2019-01-15,2491.0,18653
2019-01-16,2152.0,19099
2019-01-17,3366.0,19960
2019-01-18,3792.0,20009
2019-01-19,2348.0,14935
2019-01-20,3083.0,16875
2019-01-21,4832.0,19511
2019-01-22,3763.0,18657
2019-01-23,4525.0,19099
2019-01-24,5432.0,19963
2019-01-25,4281.0,20041
2019-01-26,1920.0,15267
2019-01-27,2949.0,18575
2019-01-28,3157.0,19934
2019-01-29,2411.0,18662
2019-01-30,3286.0,19102
2019-01-31,3881.0,19962
2019-02-01,4692.0,20045
2019-02-02,2312.0,14965
2019-02-03,1688.0,16850
2019-02-04,3137.0,19977
2019-02-05,2320.0,18663
2019-02-06,3065.0,19123
2019-02-07,4395.0,19976
2019-02-08,4152.0,20051
2019-02-09,2092.0,15291
2019-02-10,4166.0,18610
2019-02-11,4197.0,19993
2019-02-12,4869.0,18709
2019-02-13,4572.0,19330
2019-02-14,4434.0,20416
2019-02-15,4231.0,20561
2019-02-16,2371.0,15883
2019-02-17,3626.0,17794
2019-02-18,5378.0,20276
2019-02-19,4516.0,19741
2019-02-20,6373.0,20037
2019-02-21,5520.0,20480
2019-02-22,5475.0,20531
2019-02-23,3296.0,16264
2019-02-24,3842.0,19269
2019-02-25,4938.0,20485
2019-02-26,3429.0,19773
2019-02-27,3371.0,19536
2019-02-28,4941.0,20546
2019-03-01,5272.0,20580
2019-03-02,4026.0,16889
2019-03-03,4899.0,19802
2019-03-04,4683.0,20880
2019-03-05,3435.0,20120
2019-03-06,3250.0,20464
2019-03-07,3715.0,21174
2019-03-08,3913.0,21351
2019-03-09,5045.0,17867
2019-03-10,5662.0,20537
2019-03-11,3221.0,21350
2019-03-12,3026.0,20696
2019-03-13,3634.0,20963
2019-03-14,5053.0,21410
2019-03-15,4699.0,21459
2019-03-16,2921.0,17973
2019-03-17,2569.0,20598
2019-03-18,2079.0,21339
2019-03-19,1902.0,20698
2019-03-20,2412.0,20947
2019-03-21,3202.0,21320
2019-03-22,4117.0,21356
2019-03-23,2301.0,17885
2019-03-24,2705.0,20507
2019-03-25,3230.0,21305
2019-03-26,2468.0,20676
2019-03-27,2691.0,20923
2019-03-28,2535.0,21314
2019-03-29,2598.0,21348
2019-03-30,1980.0,17881
2019-03-31,3039.0,20462
2019-04-01,6618.0,21266
2019-04-02,2210.0,20527
2019-04-03,2320.0,20842
2019-04-04,3399.0,21355
2019-04-05,3193.0,21410
2019-04-06,2532.0,17523
2019-04-07,4123.0,20412
2019-04-08,4216.0,21324
2019-04-09,3618.0,20497
2019-04-10,2954.0,20779
2019-04-11,3431.0,21326
2019-04-12,4989.0,21363
2019-04-13,3355.0,17060
2019-04-14,6552.0,20410
2019-04-15,5738.0,21351
2019-04-16,2362.0,20465
2019-04-17,2334.0,20793
2019-04-18,4822.0,21344
2019-04-19,6223.0,21357
2019-04-20,3096.0,16645
2019-04-21,2425.0,19738
2019-04-22,3441.0,21342
2019-04-23,2291.0,20462
2019-04-24,2629.0,20736
2019-04-25,2384.0,21312
2019-04-26,4550.0,21343
2019-04-27,2427.0,16948
2019-04-28,2730.0,20376
2019-04-29,4402.0,21292
2019-04-30,3329.0,20425
2019-05-01,2902.0,20715
2019-05-02,5962.0,21281
2019-05-03,5229.0,21454
2019-05-04,2927.0,17151
2019-05-05,4353.0,20588
2019-05-06,3577.0,21525
2019-05-07,3089.0,20699
2019-05-08,4625.0,20968
2019-05-09,4637.0,21501
2019-05-10,4414.0,21578
2019-05-11,3356.0,16886
2019-05-12,3807.0,20166
2019-05-13,4588.0,21572
2019-05-14,2726.0,20748
2019-05-15,2577.0,21087
2019-05-16,4391.0,21608
2019-05-17,3902.0,21660
2019-05-18,3748.0,17283
2019-05-19,5917.0,20700
2019-05-20,4713.0,21649
2019-05-21,5143.0,20841
2019-05-22,3238.0,21215
2019-05-23,5883.0,21680
2019-05-24,4673.0,21725
2019-05-25,1724.0,16670
2019-05-26,1953.0,17301
2019-05-27,3167.0,20565
2019-05-28,4249.0,20980
2019-05-29,4665.0,21193
2019-05-30,4905.0,21684
2019-05-31,3517.0,21717
