ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
ABE,29222.0,322.0,1999,14.618309154577288,16.10805402701351,,,
ABI,11844.0,159.0,859,13.788125727590222,18.50989522700815,,,
ABQ,104519.0,1450.0,9045,11.555444997236043,16.03095632946379,,,
ABR,5498.0,41.0,302,18.205298013245034,13.57615894039735,,,
ABY,6030.0,66.0,424,14.221698113207546,15.566037735849056,,,
ACK,1277.0,15.0,53,24.09433962264151,28.30188679245283,,,
ACT,6384.0,102.0,685,9.31970802919708,14.890510948905108,,,
ACV,14663.0,124.0,612,23.959150326797385,20.26143790849673,,,
ACY,10367.0,117.0,1420,7.300704225352113,8.23943661971831,,,
ADK,539.0,13.0,43,12.534883720930232,30.23255813953488,,,
ADQ,1400.0,25.0,264,5.303030303030303,9.469696969696969,,,
AEX,16960.0,195.0,1353,12.53510716925351,14.412416851441243,,,
AGS,30587.0,327.0,1989,15.378079436902967,16.440422322775262,,,
ALB,66764.0,824.0,5189,12.866448255925997,15.879745615725573,,,
ALO,4718.0,49.0,290,16.26896551724138,16.896551724137932,,,
AMA,28586.0,310.0,2160,13.23425925925926,14.351851851851851,,,
ANC,38105.0,584.0,6766,5.631835648832397,8.63139225539462,,,
APN,6905.0,42.0,259,26.66023166023166,16.216216216216218,,,
ART,3930.0,50.0,245,16.040816326530614,20.408163265306122,,,
ASE,98748.0,940.0,3252,30.365313653136532,28.90528905289053,,,
ATL,1701738.0,26223.0,160789,10.583671768591135,16.308951482999458,,,
ATW,30862.0,346.0,1859,16.6013986013986,18.612157073695535,,,
ATY,966.0,7.0,109,8.862385321100918,6.422018348623854,,,
AUS,360130.0,4651.0,26463,13.608812303971582,17.5754827494993,,,
AVL,54694.0,542.0,3529,15.498441484839898,15.358458486823462,,,
AVP,17784.0,196.0,1391,12.785046728971963,14.090582314881381,,,
AZA,37370.0,555.0,2628,14.219939117199392,21.118721461187214,,,
AZO,12098.0,116.0,782,15.470588235294118,14.83375959079284,,,
BDL,141520.0,1834.0,12362,11.44798576282155,14.835787089467722,,,
BET,2479.0,42.0,344,7.2063953488372094,12.209302325581394,,,
BFF,2506.0,18.0,259,9.675675675675675,6.94980694980695,,,
BFL,14002.0,121.0,978,14.316973415132924,12.372188139059306,,,
BFM,235.0,4.0,21,11.19047619047619,19.047619047619047,,,
BGM,9426.0,67.0,375,25.136,17.866666666666667,,,
BGR,21751.0,255.0,1248,17.428685897435898,20.432692307692307,,,
BHM,97539.0,1270.0,7541,12.934491446757724,16.841267736374483,,,
BIL,12090.0,153.0,1399,8.641887062187276,10.93638313080772,,,
BIS,26848.0,286.0,1736,15.465437788018432,16.474654377880185,,,
BJI,4850.0,29.0,302,16.05960264900662,9.602649006622517,,,
BKG,1065.0,11.0,41,25.975609756097562,26.82926829268293,,,
BLI,6389.0,86.0,910,7.020879120879121,9.45054945054945,,,
BLV,6508.0,71.0,395,16.475949367088607,17.974683544303797,,,
BMI,20348.0,200.0,1205,16.88630705394191,16.59751037344398,,,
BNA,453665.0,6366.0,32893,13.792144225215091,19.353661873346915,,,
BOI,76220.0,982.0,7751,9.833569861953297,12.669332989291703,,,
BOS,1069013.0,12835.0,60581,17.646011125600435,21.186510622142254,,,
BPT,6301.0,78.0,398,15.831658291457286,19.597989949748744,,,
BQK,5395.0,52.0,422,12.78436018957346,12.322274881516588,,,
BQN,17216.0,243.0,959,17.95203336809176,25.338894681960376,,,
